Actual Weight,Age,Gender,Duration,Heart Rate,BMI,Calories Burn
96.30111546,45,1,37,170,29.42627467,286.9598505
61.1046681,25,1,43,142,21.28634599,343.4530361
71.76672384,20,1,20,148,27.8995916,261.2234649
82.98445557,33,1,39,170,33.72955245,127.1838584
85.64317443,29,2,34,118,23.28611341,416.3183735
80.59659152,60,2,41,169,34.71933604,479.7226901
61.81538551,18,1,53,103,34.59464132,457.6313614
62.80648911,42,1,25,104,22.05010343,272.9569819
54.53768847,49,1,37,161,30.94884687,195.0322726
97.43683277,41,1,55,103,31.22404465,259.5311447
54.14440184,41,1,52,151,34.01756731,248.5361176
97.36896072,35,2,28,158,34.56511678,376.5526493
84.42865874,54,2,48,173,34.52263692,311.1060239
60.02686967,41,1,43,121,28.9313826,497.549588
61.25935824,19,1,59,174,26.34012389,451.8532602
86.46496723,54,1,42,105,28.9570926,325.056217
88.31452671,38,2,46,119,33.67888188,216.8663933
84.14403879,42,1,26,126,23.89336292,377.1229305
70.75616296,40,2,23,129,33.2386129,457.6203214
84.43614261,49,1,59,149,20.44761953,103.3354905
80.99303296,38,1,55,114,24.8895933,335.1512709
52.29681481,29,1,37,135,20.54155838,131.4575318
69.65255976,54,2,26,117,30.59981568,187.2145211
54.69985051,30,1,26,145,33.35999724,129.0192376
59.86013459,45,2,36,135,18.74376699,293.464795
72.0983609,24,1,57,159,31.57504828,344.1352887
81.68863135,56,1,39,133,20.0330802,297.6813903
98.57062426,54,1,33,118,18.94809579,126.4961165
78.70795184,21,1,21,164,21.339318,279.7251573
49.31561328,55,2,48,155,29.23556137,214.2193561
86.24767046,47,1,26,154,22.17566114,115.3368677
86.45526301,24,1,37,168,24.37234879,444.6904555
90.68068215,57,2,47,111,30.42326681,261.0427782
77.83226162,30,2,31,170,24.94641272,343.2067297
78.03340967,52,2,49,121,26.27883251,483.4970362
95.66982226,20,1,43,103,24.83308985,364.4688538
54.53063568,37,1,51,155,34.36954017,353.2051257
96.08917838,47,2,25,106,28.17738168,182.3335938
79.82720402,28,2,31,157,21.77174362,316.0366931
99.0966335,57,2,27,150,32.25019059,280.5911131
100.8967673,41,2,53,162,27.39231586,240.9247871
85.40862776,19,1,60,153,22.21856755,455.6056505
51.17641475,32,2,37,168,19.43018046,119.4725546
58.06911618,55,1,36,159,31.76605422,121.0886855
70.58058256,39,2,59,177,30.65263465,207.9759501
76.65819193,32,2,28,126,23.04409145,355.6478253
75.47957349,58,1,36,151,26.22608119,176.4886037
66.54716531,40,1,52,158,20.05025199,453.4353571
82.55090155,48,2,34,174,25.8040189,120.0669036
88.76687023,36,1,54,137,29.99401277,379.3709879
77.79195722,35,1,21,129,20.10679707,244.9790358
56.59718028,28,1,39,124,24.51337316,447.7851241
70.505351,37,1,32,146,19.00649414,117.819875
81.53358944,25,2,50,136,33.61687435,217.7570965
81.76218279,51,1,52,146,34.29477546,371.1216261
72.56739655,28,2,20,108,21.1134036,441.770923
90.70424116,27,2,53,103,29.92696454,277.7292176
92.2778923,52,1,38,136,20.23433582,168.6552217
75.98180486,49,2,26,112,22.83994622,126.6017619
62.78632646,48,1,21,101,34.1017927,283.2182582
61.49848031,40,1,48,119,18.55321683,301.4196335
79.84324315,47,2,21,164,19.24402432,318.4410057
83.15299584,40,2,25,156,28.19329989,141.0364555
67.53030977,26,1,39,174,34.31000845,170.5211824
83.80386672,60,2,35,121,26.38069687,151.3656289
78.45646952,20,1,30,151,31.07880384,365.6369757
78.62363525,52,1,52,172,21.65583392,127.9066818
74.92635505,50,1,23,147,21.91606524,111.4136934
81.75920467,36,1,40,118,22.45509707,455.756085
62.46149413,40,2,41,171,23.8444923,324.9529154
53.78396297,51,1,26,139,28.62831618,224.7566667
76.38530131,19,2,34,107,25.38978365,251.9707701
95.95126884,32,2,49,127,27.447053,346.4365542
52.15090762,58,1,30,153,24.9464804,233.3392462
100.4104576,25,1,53,166,19.62559444,222.7406397
77.33768093,60,1,27,128,29.80454185,254.9823965
81.78720798,42,2,34,118,27.81412391,387.9547256
95.12661104,59,2,51,176,32.99199182,129.4225026
96.4680018,52,2,36,125,32.3516948,211.9936538
96.17884077,43,2,28,146,19.14769677,187.1540026
61.23949091,52,1,44,145,32.27281532,362.8855991
72.72992098,27,1,42,110,26.67828159,145.4125641
102.2311965,56,2,46,103,22.06029777,305.3738804
62.93349247,33,2,45,143,31.64764776,472.5085347
64.29150459,57,1,24,176,18.85074319,364.7305563
88.75571394,25,2,55,156,21.63796084,218.439501
61.68558378,55,1,46,110,34.0370336,120.509324
57.37963507,18,2,42,121,28.68479934,194.3341766
55.08886643,40,1,51,152,20.96051879,169.705561
82.52777519,43,2,52,108,27.19984173,178.0728415
65.07531403,28,1,32,137,24.3270678,299.8187299
50.02107892,57,1,40,139,33.30809063,443.5856836
83.79618992,36,2,22,180,24.6627078,271.0956442
68.8660001,35,1,36,109,22.10955455,413.8854243
59.19067336,35,1,27,166,23.4711098,176.433223
71.09468662,40,2,56,115,28.76920033,147.1726527
87.5055916,34,2,23,154,21.47705405,408.4146909
98.55154754,57,2,52,107,30.60448801,168.0208161
86.43440433,41,1,46,163,32.0156202,267.576432
75.32676972,37,1,38,115,34.25747047,366.0372045
78.86926562,42,1,57,128,30.16709554,309.7996685
50.5837702,27,1,50,166,21.55475318,377.2902571
56.99475918,53,2,20,152,25.57786558,306.2712633
67.57261021,56,2,30,106,33.17709401,234.0254065
60.79754678,38,1,46,108,24.52088084,329.4466802
55.71856453,22,1,51,176,32.70903152,442.5630513
80.84973657,28,1,28,151,27.61331775,399.4897422
95.80545927,54,1,51,127,21.38166209,483.969752
79.63577637,42,2,58,125,27.29355873,420.1160418
59.09725982,18,1,39,123,34.1207098,209.8023499
57.63665394,57,2,60,109,23.15990606,124.8124867
82.51560728,47,2,38,141,31.35652295,118.3385206
94.38356843,58,2,22,145,32.09962909,408.4920534
102.9782737,43,1,22,151,28.66587115,118.1771261
63.44628513,58,2,22,108,20.15866046,422.7135013
56.20362011,23,1,42,135,20.06185171,240.0177788
88.79659313,49,2,41,101,26.4000158,419.3066769
57.06837366,39,2,26,163,21.42123002,483.7782894
92.75547183,34,1,52,144,22.27836045,266.54832
67.04093332,19,1,39,122,20.33647415,104.8550273
83.11037908,32,2,37,103,27.45571038,302.9548246
89.99851689,43,2,54,118,24.89526987,283.4472034
91.07660295,57,2,33,173,31.4402438,239.5529794
55.98469128,44,2,29,105,28.29870262,410.136624
70.13620933,34,2,50,146,22.92826784,472.2571261
53.042103,40,2,44,169,28.11696786,440.3696002
50.86320199,57,2,36,161,22.21944956,475.4189059
93.00075247,59,2,25,116,22.31779856,142.9766065
99.24127998,18,2,50,144,31.96373669,115.8819824
84.33421187,39,1,41,177,24.11116561,443.3890037
61.73193421,58,2,27,130,29.31747581,187.0619427
85.16440129,43,2,23,124,29.69361279,310.3643974
55.16087683,30,1,28,117,30.5449893,129.611367
61.24653066,25,2,28,104,21.62008808,383.2635156
78.5115556,52,2,53,177,21.25129781,144.7993694
92.41374766,55,2,50,106,33.35338189,102.0959253
