Каллорий сожжено,Вес,Возраст,Пол,Продолжительность,Частота сердцебиений,Индекс массы тела
286.9598505,96.30111546,45,1,37,170,29.42627467
343.4530361,61.1046681,25,1,43,142,21.28634599
261.2234649,71.76672384,20,1,20,148,27.8995916
127.1838584,82.98445557,33,1,39,170,33.72955245
416.3183735,85.64317443,29,2,34,118,23.28611341
479.7226901,80.59659152,60,2,41,169,34.71933604
457.6313614,61.81538551,18,1,53,103,34.59464132
272.9569819,62.80648911,42,1,25,104,22.05010343
195.0322726,54.53768847,49,1,37,161,30.94884687
259.5311447,97.43683277,41,1,55,103,31.22404465
248.5361176,54.14440184,41,1,52,151,34.01756731
376.5526493,97.36896072,35,2,28,158,34.56511678
311.1060239,84.42865874,54,2,48,173,34.52263692
497.549588,60.02686967,41,1,43,121,28.9313826
451.8532602,61.25935824,19,1,59,174,26.34012389
325.056217,86.46496723,54,1,42,105,28.9570926
216.8663933,88.31452671,38,2,46,119,33.67888188
377.1229305,84.14403879,42,1,26,126,23.89336292
457.6203214,70.75616296,40,2,23,129,33.2386129
103.3354905,84.43614261,49,1,59,149,20.44761953
335.1512709,80.99303296,38,1,55,114,24.8895933
131.4575318,52.29681481,29,1,37,135,20.54155838
187.2145211,69.65255976,54,2,26,117,30.59981568
129.0192376,54.69985051,30,1,26,145,33.35999724
293.464795,59.86013459,45,2,36,135,18.74376699
344.1352887,72.0983609,24,1,57,159,31.57504828
297.6813903,81.68863135,56,1,39,133,20.0330802
126.4961165,98.57062426,54,1,33,118,18.94809579
279.7251573,78.70795184,21,1,21,164,21.339318
214.2193561,49.31561328,55,2,48,155,29.23556137
115.3368677,86.24767046,47,1,26,154,22.17566114
444.6904555,86.45526301,24,1,37,168,24.37234879
261.0427782,90.68068215,57,2,47,111,30.42326681
343.2067297,77.83226162,30,2,31,170,24.94641272
483.4970362,78.03340967,52,2,49,121,26.27883251
364.4688538,95.66982226,20,1,43,103,24.83308985
353.2051257,54.53063568,37,1,51,155,34.36954017
182.3335938,96.08917838,47,2,25,106,28.17738168
316.0366931,79.82720402,28,2,31,157,21.77174362
280.5911131,99.0966335,57,2,27,150,32.25019059
240.9247871,100.8967673,41,2,53,162,27.39231586
455.6056505,85.40862776,19,1,60,153,22.21856755
119.4725546,51.17641475,32,2,37,168,19.43018046
121.0886855,58.06911618,55,1,36,159,31.76605422
207.9759501,70.58058256,39,2,59,177,30.65263465
355.6478253,76.65819193,32,2,28,126,23.04409145
176.4886037,75.47957349,58,1,36,151,26.22608119
453.4353571,66.54716531,40,1,52,158,20.05025199
120.0669036,82.55090155,48,2,34,174,25.8040189
379.3709879,88.76687023,36,1,54,137,29.99401277
244.9790358,77.79195722,35,1,21,129,20.10679707
447.7851241,56.59718028,28,1,39,124,24.51337316
117.819875,70.505351,37,1,32,146,19.00649414
217.7570965,81.53358944,25,2,50,136,33.61687435
371.1216261,81.76218279,51,1,52,146,34.29477546
441.770923,72.56739655,28,2,20,108,21.1134036
277.7292176,90.70424116,27,2,53,103,29.92696454
168.6552217,92.2778923,52,1,38,136,20.23433582
126.6017619,75.98180486,49,2,26,112,22.83994622
283.2182582,62.78632646,48,1,21,101,34.1017927
301.4196335,61.49848031,40,1,48,119,18.55321683
318.4410057,79.84324315,47,2,21,164,19.24402432
141.0364555,83.15299584,40,2,25,156,28.19329989
170.5211824,67.53030977,26,1,39,174,34.31000845
151.3656289,83.80386672,60,2,35,121,26.38069687
365.6369757,78.45646952,20,1,30,151,31.07880384
127.9066818,78.62363525,52,1,52,172,21.65583392
111.4136934,74.92635505,50,1,23,147,21.91606524
455.756085,81.75920467,36,1,40,118,22.45509707
324.9529154,62.46149413,40,2,41,171,23.8444923
224.7566667,53.78396297,51,1,26,139,28.62831618
251.9707701,76.38530131,19,2,34,107,25.38978365
346.4365542,95.95126884,32,2,49,127,27.447053
233.3392462,52.15090762,58,1,30,153,24.9464804
222.7406397,100.4104576,25,1,53,166,19.62559444
254.9823965,77.33768093,60,1,27,128,29.80454185
387.9547256,81.78720798,42,2,34,118,27.81412391
129.4225026,95.12661104,59,2,51,176,32.99199182
211.9936538,96.4680018,52,2,36,125,32.3516948
187.1540026,96.17884077,43,2,28,146,19.14769677
362.8855991,61.23949091,52,1,44,145,32.27281532
145.4125641,72.72992098,27,1,42,110,26.67828159
305.3738804,102.2311965,56,2,46,103,22.06029777
472.5085347,62.93349247,33,2,45,143,31.64764776
364.7305563,64.29150459,57,1,24,176,18.85074319
218.439501,88.75571394,25,2,55,156,21.63796084
120.509324,61.68558378,55,1,46,110,34.0370336
194.3341766,57.37963507,18,2,42,121,28.68479934
169.705561,55.08886643,40,1,51,152,20.96051879
178.0728415,82.52777519,43,2,52,108,27.19984173
299.8187299,65.07531403,28,1,32,137,24.3270678
443.5856836,50.02107892,57,1,40,139,33.30809063
271.0956442,83.79618992,36,2,22,180,24.6627078
413.8854243,68.8660001,35,1,36,109,22.10955455
176.433223,59.19067336,35,1,27,166,23.4711098
147.1726527,71.09468662,40,2,56,115,28.76920033
408.4146909,87.5055916,34,2,23,154,21.47705405
168.0208161,98.55154754,57,2,52,107,30.60448801
267.576432,86.43440433,41,1,46,163,32.0156202
366.0372045,75.32676972,37,1,38,115,34.25747047
309.7996685,78.86926562,42,1,57,128,30.16709554
377.2902571,50.5837702,27,1,50,166,21.55475318
306.2712633,56.99475918,53,2,20,152,25.57786558
234.0254065,67.57261021,56,2,30,106,33.17709401
329.4466802,60.79754678,38,1,46,108,24.52088084
442.5630513,55.71856453,22,1,51,176,32.70903152
399.4897422,80.84973657,28,1,28,151,27.61331775
483.969752,95.80545927,54,1,51,127,21.38166209
420.1160418,79.63577637,42,2,58,125,27.29355873
209.8023499,59.09725982,18,1,39,123,34.1207098
124.8124867,57.63665394,57,2,60,109,23.15990606
118.3385206,82.51560728,47,2,38,141,31.35652295
408.4920534,94.38356843,58,2,22,145,32.09962909
118.1771261,102.9782737,43,1,22,151,28.66587115
422.7135013,63.44628513,58,2,22,108,20.15866046
240.0177788,56.20362011,23,1,42,135,20.06185171
419.3066769,88.79659313,49,2,41,101,26.4000158
483.7782894,57.06837366,39,2,26,163,21.42123002
266.54832,92.75547183,34,1,52,144,22.27836045
104.8550273,67.04093332,19,1,39,122,20.33647415
302.9548246,83.11037908,32,2,37,103,27.45571038
283.4472034,89.99851689,43,2,54,118,24.89526987
239.5529794,91.07660295,57,2,33,173,31.4402438
410.136624,55.98469128,44,2,29,105,28.29870262
472.2571261,70.13620933,34,2,50,146,22.92826784
440.3696002,53.042103,40,2,44,169,28.11696786
475.4189059,50.86320199,57,2,36,161,22.21944956
142.9766065,93.00075247,59,2,25,116,22.31779856
115.8819824,99.24127998,18,2,50,144,31.96373669
443.3890037,84.33421187,39,1,41,177,24.11116561
187.0619427,61.73193421,58,2,27,130,29.31747581
310.3643974,85.16440129,43,2,23,124,29.69361279
129.611367,55.16087683,30,1,28,117,30.5449893
383.2635156,61.24653066,25,2,28,104,21.62008808
144.7993694,78.5115556,52,2,53,177,21.25129781
102.0959253,92.41374766,55,2,50,106,33.35338189
344.712567,58.7253541,43,1,59,108,19.09399718
237.6189713,86.58468232,29,1,23,137,24.93561004
192.364994,100.4090798,40,1,31,170,20.03404579
471.6148446,75.91369081,29,1,58,160,21.51597702
280.455236,74.96073161,36,2,58,131,33.71839827
474.2340328,65.80857826,26,2,59,107,24.40223101
184.4730934,68.3741302,46,2,45,141,28.94278738
137.7745595,53.69455335,22,1,42,109,26.34117322
414.4423123,97.80677203,44,2,31,121,27.51271829
439.2877189,98.57887801,44,1,40,106,28.42239194
152.3731861,74.43379193,28,1,28,100,28.59196993
313.1435338,84.64565117,52,1,48,126,27.55570647
376.4953334,82.52383881,26,2,32,109,19.39886868
448.9890478,94.61001335,35,1,30,141,22.85568356
293.0344535,53.24650478,56,1,20,176,29.78677836
233.122857,90.220902,38,2,22,105,21.34916053
151.5991295,57.12792775,23,2,43,167,31.33151701
246.0202278,62.26845357,27,2,23,104,22.51498621
295.1513244,96.4338872,50,2,36,178,24.54884642
119.6067548,70.97223588,23,1,25,170,18.94521484
418.2618341,69.18487084,54,1,23,177,23.62638167
419.7180341,75.59689133,38,2,51,151,26.50197594
237.1214052,74.84338458,45,1,26,154,24.49874184
488.9969371,83.66405641,19,2,55,175,19.49576172
485.0860445,69.31447707,60,1,37,133,30.15399805
185.5255732,81.14219998,60,1,56,111,25.12063694
165.9993912,72.99273153,56,1,51,162,22.66285542
312.9282633,88.61938842,53,1,55,176,26.06325689
310.7992823,96.36457188,52,2,35,168,20.68000992
194.9421322,75.08330305,24,2,26,102,32.39776582
491.9044704,88.22157221,42,1,29,153,23.19780894
334.6332176,54.81757182,19,1,30,136,26.48644482
458.8810485,51.86215132,26,1,33,133,33.52926921
221.3818281,75.38185875,49,2,56,175,23.94210442
325.8452919,93.34441029,51,2,27,129,22.29424576
271.7984607,91.8210386,18,1,55,159,19.57181441
218.1117723,87.46190442,35,2,54,131,32.33269169
372.581496,94.37463386,54,1,31,158,33.27434395
479.8325592,95.911693,49,2,54,107,27.17379536
394.1783809,48.40048431,56,1,31,123,22.68855345
444.2549306,95.56601888,24,2,21,152,30.9707873
317.3206578,47.45277461,37,2,36,166,22.99728844
294.440263,96.36381065,20,2,33,172,32.29393205
336.160237,78.27247592,51,2,40,145,25.56755187
179.1368748,94.01242775,21,1,24,126,33.44114105
241.2112347,55.78219929,31,2,35,166,20.54830706
468.6631805,64.57042377,38,2,30,114,28.01156596
370.6934327,78.20786746,25,2,31,144,31.51282138
235.4808427,63.56491265,18,1,29,130,19.24520096
497.6911217,69.05311312,27,2,34,155,25.57548596
461.5139356,67.17188522,52,2,45,102,33.81707437
358.1260719,101.0450295,49,1,27,165,31.14741497
420.185107,79.41729076,48,1,35,119,34.16084238
247.3177278,66.77762847,58,2,43,136,27.66865811
304.6376978,62.54535184,60,1,37,171,22.59039568
485.9618233,73.95241722,42,1,25,113,20.31656797
452.3517684,93.46029553,28,2,23,141,28.69268691
430.4024765,60.11646252,48,1,47,123,25.2372257
283.3606445,77.88313682,51,2,41,171,20.45067266
212.742105,83.47986826,53,2,34,117,33.34423973
497.8515018,65.71073511,25,2,47,110,34.38153041
390.1075923,67.73405712,31,1,45,160,26.13938514
214.5143714,68.24753501,34,1,21,159,26.5913335
188.6152102,100.3214275,43,1,55,173,28.1726826
122.6847362,73.90294643,22,1,58,116,20.81564035
259.0072069,102.5759785,40,1,52,107,30.199875
258.7209122,65.9868247,24,1,32,136,32.38559416
154.7629008,86.9147589,59,2,21,179,30.79285681
282.6603086,94.72751555,53,2,42,120,19.17657562
262.1380834,99.44447884,25,2,36,103,20.53391978
489.7061081,74.53645217,24,1,23,110,21.69213114
308.560274,72.94929275,19,2,33,105,22.79244181
303.4398397,92.63114444,44,1,44,146,21.4929567
242.4507635,67.15173698,48,2,42,104,22.05978155
224.3531034,73.94830679,60,1,40,159,26.40999771
387.9751554,91.02035846,52,2,34,142,22.55585982
240.2690206,58.12264191,60,1,54,136,34.26105261
324.107922,91.80876937,45,2,34,113,21.72348561
126.1531014,76.758792,30,2,50,129,29.00556556
145.840523,76.49065871,35,2,37,171,29.8985682
118.6470115,51.61450441,25,1,38,110,33.82190219
279.5525288,87.63950887,59,2,35,126,34.00291981
114.0978791,47.25295118,44,1,57,180,22.89634691
323.1393326,51.0539001,38,1,29,120,29.2261896
299.4536977,67.68934097,41,1,23,115,31.7652518
433.6218435,88.015325,50,2,53,119,28.98058516
131.4758952,77.49636925,25,2,49,173,24.50330969
238.3390773,91.84575014,25,1,26,102,24.95522302
445.9066828,93.55516577,53,2,54,151,30.97390197
250.6072627,59.79740766,28,2,34,146,24.64626143
319.6223011,69.53764157,31,2,45,155,30.90135908
191.1171928,90.47551048,48,2,41,117,19.25112935
363.3425898,90.25399127,55,1,52,135,31.22855908
222.4347461,52.53937694,39,2,39,100,24.48579821
213.921272,93.67878248,42,1,51,143,18.54234137
194.7017851,87.88988989,48,2,59,179,33.29581566
254.4716117,55.78997996,34,2,60,151,34.98571687
331.535759,63.66141161,20,1,27,175,26.43131346
255.1511815,55.34159526,48,1,51,139,21.32289277
168.4553504,95.85150615,32,1,48,132,26.33741437
388.0302215,97.51100213,41,2,44,163,20.95288539
327.7262024,83.59971205,28,2,36,100,22.69986994
415.060294,60.26897653,54,2,25,130,23.98040468
385.1856873,100.6622709,59,2,34,161,29.72536235
181.9180309,81.75602055,60,2,45,125,21.77943765
308.1344965,86.62404938,33,1,28,108,25.62145083
417.0429093,79.26890552,39,1,53,143,34.1228394
308.5380208,62.93323959,57,1,34,107,26.50494475
403.6280814,80.72214674,21,2,29,180,25.490055
454.6685624,88.43255009,40,1,44,167,32.2979395
286.4576245,55.12313268,41,2,25,144,22.99997405
390.9885057,53.91204673,44,2,32,108,25.09384749
310.270577,95.23066175,19,2,58,148,33.92163942
362.8638865,93.79851035,48,1,45,164,29.80356061
322.4907182,73.94803631,18,1,34,116,25.23060779
441.4491581,98.47403214,28,2,54,159,34.63480035
159.1317833,63.89765467,37,2,44,122,23.17639498
493.7813433,70.08391828,38,2,54,104,32.17548469
216.1592428,70.50374018,22,1,49,120,30.93797691
326.532619,70.23640316,58,2,28,160,21.5512308
455.2579295,65.25413296,24,1,44,137,22.96582098
460.995065,79.01064398,60,1,49,178,24.99600087
459.8698899,80.535058,59,2,25,103,25.16837564
440.2043132,58.08897521,40,1,22,180,31.57757632
278.1967269,70.7713874,57,1,27,132,20.87132541
161.6621582,52.05841484,29,2,53,120,33.58432215
496.1194256,77.41519775,35,2,34,152,31.73631604
312.1965692,55.41210375,21,2,26,117,21.56606221
289.5039568,55.32812567,19,2,59,102,20.74087439
451.3558735,58.25794246,31,1,39,158,34.13992
205.4822903,51.10745895,35,1,30,151,33.41957239
228.9977038,72.49935442,48,2,58,168,32.95397849
412.8717973,98.99602467,51,1,36,166,33.08167402
125.3188633,62.93773009,60,1,60,140,25.50366824
332.2157903,82.90077002,18,2,56,107,31.49407517
170.3770551,70.98652946,54,2,24,112,18.58827479
480.8794249,61.05276,35,1,22,176,33.03941552
458.836108,60.27206231,19,2,55,141,34.4811694
152.0253587,55.00439332,40,1,20,138,23.40905355
202.6962407,71.43576989,57,1,38,170,23.16198917
340.7412607,70.57669883,45,1,25,159,34.53310207
181.6505208,53.64369787,58,1,41,113,34.80267975
296.237181,90.29951198,55,2,56,159,33.97005736
414.0052653,87.17224165,43,1,27,126,30.8375631
365.7079677,82.31624701,25,2,60,169,18.59892834
348.0929836,49.79118232,31,2,28,177,21.83482571
456.5835377,90.26654198,22,1,59,138,22.48202902
215.5900112,74.50439035,30,1,22,108,28.55221574
249.0236668,57.63360856,59,2,40,154,19.34307393
278.6110562,92.97289312,49,2,40,123,22.49851017
265.2251986,79.548377,21,1,42,176,31.17042026
455.903897,89.10269181,23,1,20,163,27.98404912
422.8064437,49.46376539,52,1,42,103,26.71492286
446.3728861,94.53201313,52,2,41,123,24.96293481
428.4618685,50.81730665,41,1,31,139,24.54790438
166.7512424,95.00903929,30,1,49,179,23.51175625
160.8038414,83.17303177,26,2,57,143,28.82431738
310.7268313,68.49501401,50,2,38,173,29.107554
184.5605075,76.17260938,44,1,56,157,30.38884623
471.515755,63.89690295,19,2,20,112,34.31492756
490.9832922,84.85824043,22,1,59,162,29.08226346
216.548184,94.58201652,21,1,35,111,23.18880761
330.849155,61.21898835,30,2,37,133,29.73208603
339.3830995,95.33283953,42,2,22,137,28.21130926
151.461179,62.78126409,36,2,24,149,25.24085672
306.5809613,75.71544404,30,1,56,122,19.54459704
254.7415239,64.59699077,56,2,46,170,19.97470835
285.6125742,68.78811679,37,1,50,135,25.45210618
413.4908856,56.05930883,31,2,53,119,34.63148137
483.5791915,71.24835918,41,2,55,126,24.50260017
405.6742994,89.91824843,53,2,35,161,19.18158969
180.1020082,88.50337847,43,2,34,108,28.29871048
491.1956175,73.55545085,19,2,42,179,27.56666752
231.7764398,90.04297324,35,1,46,175,30.00699053
120.2328577,49.77671281,23,1,52,172,31.62463111
178.690855,57.77895327,47,1,36,157,29.66816308
421.9922433,85.75016112,25,1,22,170,29.36377752
231.7819505,48.34034898,53,2,50,107,33.7985402
481.3714627,51.15406525,45,2,21,167,26.66030359
248.6070358,78.98980121,60,2,57,117,20.03105055
148.6082488,67.42142456,48,2,55,110,25.8424954
401.2463231,63.44800037,36,2,42,116,21.28403508
245.3714936,78.52993627,26,2,40,125,25.53774139
142.8070474,79.13887358,58,1,53,180,29.14203375
224.3930595,59.05334451,34,2,25,174,21.31593985
466.0550527,99.81726666,20,2,20,101,34.57665453
181.6099815,58.30241662,49,2,29,115,20.65715982
305.3195624,75.19700458,46,1,44,159,19.59179372
423.0853574,62.6611276,58,2,22,180,25.92492438
399.9880015,81.60575188,19,1,30,115,19.12327793
400.428286,70.79323875,50,1,32,170,20.66918561
458.8880881,55.5680401,42,2,35,148,20.06381379
329.3561362,86.70820752,43,1,59,116,18.8895982
261.2450959,53.82303744,19,1,21,178,23.72146954
158.1545606,62.5721434,44,1,45,156,28.35548439
123.0468662,95.18618148,22,1,24,180,21.88936074
494.2516457,84.35284143,26,1,38,103,33.89920168
184.3670115,51.57456244,46,1,34,150,32.54984331
411.6674071,49.921153,26,1,41,165,27.68472164
355.2367304,52.04597545,59,1,28,143,19.46962907
403.5083872,81.03242889,21,1,43,107,21.95965802
300.5238837,72.34243772,58,2,43,156,18.56066334
216.4842087,77.65955473,29,1,34,176,21.86450925
288.0463141,71.58298537,57,2,60,115,25.44253104
247.0820312,57.47826482,29,1,33,145,32.98381379
136.3502737,62.58651766,24,1,38,117,24.603464
450.0478028,74.32203924,24,2,41,175,31.63706131
204.9536094,61.41064244,55,2,22,144,27.47585867
184.6779309,52.44358948,26,2,34,139,28.32671343
208.9533031,97.63294365,59,2,25,115,28.18492741
187.1126847,65.53738059,23,1,37,148,23.11954572
463.0966938,77.21661968,20,2,55,170,23.03472355
298.5443919,57.36036849,42,1,24,115,19.13758509
489.1441813,87.52639417,28,1,60,168,31.5147621
115.8031822,95.35911638,48,2,59,106,21.92907831
260.8174077,54.37169733,38,2,32,125,26.29046954
410.8112718,87.83470688,55,1,59,147,29.70650978
419.2784609,72.5148958,31,1,49,129,30.95600026
113.1786548,69.97104814,30,1,45,133,19.39258381
291.7262097,63.68606161,37,1,38,107,31.58904307
254.0620735,84.34899752,59,1,45,160,22.30338819
180.535173,85.63849178,33,2,53,114,20.31832517
456.4332913,91.28217723,43,1,43,155,23.30957609
469.0207909,71.54805326,32,1,52,153,32.97564179
247.1174833,93.68090206,25,2,50,137,23.90398421
147.2493424,50.72098733,47,1,34,131,30.00223557
187.5142295,61.44955386,24,1,35,165,18.67705133
168.3402704,94.30641492,21,2,26,144,32.5786749
240.6076274,98.48234984,37,2,49,128,33.87590092
296.3476865,63.9018863,26,1,27,147,32.67414535
324.8394184,57.08611012,43,2,44,114,29.04596772
349.9257365,96.93965084,36,2,58,136,28.9551125
408.2691002,52.15180862,28,2,59,136,31.42627908
468.2812717,57.01489026,38,2,60,136,23.86985935
216.1510908,90.32786641,36,1,35,161,28.77170485
287.3193103,84.94581369,42,1,21,158,33.07809833
144.6462718,64.75995348,48,1,50,129,33.66334913
234.385722,88.20981224,56,1,55,168,22.52023142
134.2520968,98.68042824,21,2,55,118,22.48446556
477.9962144,87.23160216,59,2,24,132,22.99754328
288.9131064,86.45005595,38,2,34,141,26.40216848
158.1282137,99.84345975,37,2,48,118,22.50830759
235.9513724,86.7953898,42,2,56,145,28.97385066
459.9240829,96.04531807,18,1,43,177,34.82835151
118.7328617,55.46661161,25,1,20,126,20.49641424
201.3066614,66.35769351,38,2,57,157,24.7127525
369.0942459,76.97046693,58,1,44,171,33.72881085
451.2216375,60.0829114,30,2,34,162,22.38683541
426.8229159,98.95344842,57,1,23,120,25.35427391
366.9700625,51.77966327,18,2,46,167,33.55067313
316.071905,93.47101498,50,1,31,133,32.8818679
274.9951649,54.10767485,30,2,55,134,23.96603628
347.6299577,50.38570573,47,1,32,149,25.41240432
387.15983,85.50386934,52,2,29,104,22.02125599
280.2025657,72.77275738,25,1,27,174,30.24902305
214.0563329,54.69312995,33,1,21,166,34.53053885
285.3950804,78.50259025,18,1,32,112,27.50377598
215.7590068,51.99318611,41,1,44,175,27.97145489
207.7196189,77.94541112,35,2,31,162,19.85515341
271.0046608,48.58804338,45,2,37,154,28.12016498
253.0751371,69.23537423,18,2,56,106,25.0264355
190.3247056,76.81115279,42,1,40,156,34.48911308
492.430158,57.33110017,43,2,48,171,22.24187516
192.0501081,64.38638292,34,2,26,158,34.50563981
208.2925551,51.88197155,51,1,32,133,30.81712934
477.6755303,84.7905715,41,1,35,104,22.16264101
205.1652999,96.58482484,38,1,43,126,28.34554892
170.0462889,74.32789715,52,2,52,118,22.11515706
178.4252134,96.4963819,46,2,32,123,24.13492387
252.2319844,74.36998967,37,1,24,126,21.22972967
340.5840371,62.48204383,45,1,43,126,30.45304697
127.425054,91.50314289,50,1,24,114,21.60465941
107.3080578,99.58803582,29,1,21,112,31.12968457
475.29051,62.28731363,40,1,44,101,34.24120371
497.927929,69.98919176,35,2,53,144,21.68560908
340.5581323,84.19338541,21,1,58,161,24.90406254
456.4650424,61.2107751,32,2,55,173,20.06407304
167.3702841,57.44383499,50,2,46,148,19.42318543
454.4133889,88.74569802,43,2,20,104,20.94458329
237.0676596,50.37034965,20,2,45,126,33.66218269
393.6860283,68.52538578,38,2,23,111,26.52779665
319.5863841,93.65156702,56,1,51,111,18.69603299
120.4914923,83.11213438,32,2,50,133,29.60965936
136.5715819,62.48291431,19,1,54,139,28.16366232
158.8514844,53.45290274,58,1,48,115,31.38717024
374.7373633,73.4235804,57,1,26,179,21.85159671
322.9729779,88.51637447,51,1,60,111,33.2738094
368.0326813,99.380252,59,1,27,151,23.64767141
