Actual Weight,Age,Gender,Duration,Heart Rate,BMI,Calories Burn
71.01498343,53,2,45,129,32.93923181,145.5160225
67.59708022,27,1,38,163,28.82736894,155.2710119
93.46029553,28,2,23,141,28.69268691,452.3517684
83.03765604,35,1,24,131,27.98137138,347.7857184
83.59971205,28,2,36,100,22.69986994,327.7262024
49.37851687,30,2,54,169,33.25737327,181.5485547
78.21680949,38,1,56,147,34.72511272,424.8608163
56.95082171,21,2,22,175,19.43511788,458.1424681
76.23634834,26,2,45,148,22.59260236,282.8562195
97.27341349,58,2,32,172,23.75610937,220.4272009
59.4604164,24,2,22,133,26.16538749,251.2931546
60.0829114,30,2,34,162,22.38683541,451.2216375
68.67881283,21,2,54,126,25.66938588,231.5202935
76.41984043,24,2,45,143,24.91086469,276.0261286
66.22566804,26,2,24,136,21.00487314,136.0594544
59.43362417,30,1,56,118,34.51125401,129.7516826
59.71752819,30,1,28,103,26.39472248,233.5024908
53.83978928,51,1,38,150,27.17760804,455.8084175
90.220902,38,2,22,105,21.34916053,233.122857
55.04189351,34,1,28,117,19.3240725,107.4055249
64.44108645,40,2,33,163,19.03138546,202.2209174
56.44362689,33,2,59,118,30.13035339,470.6964459
70.7713874,57,1,27,132,20.87132541,278.1967269
93.37515083,20,1,59,110,32.90214255,247.8571129
88.07064745,37,1,58,108,22.30863025,406.5725018
79.60649122,23,2,29,124,24.03272665,229.2668065
56.87317122,46,2,42,100,22.22165959,301.9914697
103.3245767,31,2,39,129,25.26261862,487.7993201
88.0395288,34,2,36,147,25.89450903,187.7375891
77.63616703,20,1,31,119,22.14673854,416.4097674
59.65742298,24,1,54,163,32.26357281,280.462558
65.34793141,28,2,58,144,33.81010289,112.7342322
92.55075823,19,1,40,111,29.38723124,358.1780427
92.07408432,45,2,43,115,28.1965945,142.9051095
51.78194252,30,1,27,104,22.69973831,372.4253193
77.4762298,40,2,54,154,34.27465113,158.3904985
64.00482414,21,1,51,110,31.0172232,290.8650618
95.35911638,48,2,59,106,21.92907831,115.8031822
62.18565111,26,1,27,141,26.59658565,131.9238758
56.52439319,36,1,24,103,32.48561206,221.4891477
53.72883299,44,1,44,120,30.94541637,199.3423596
85.6281097,24,1,32,130,31.2335491,479.0355032
95.33446802,43,1,33,103,22.67102612,119.8779034
93.96316277,53,2,30,133,29.25045299,392.1735963
73.43541192,45,2,25,157,28.2562298,373.1221957
65.71763344,39,1,43,125,27.71777728,363.4092889
57.70635026,43,1,51,152,25.33657102,386.4257478
88.55860716,59,2,38,123,30.21000053,299.6448011
60.10804264,44,2,26,110,21.7214376,358.1121528
49.36278024,42,2,21,104,28.19205119,107.7812764
86.51490559,24,2,41,113,22.0141175,347.7725662
73.28364293,25,2,51,112,31.78845826,258.3796766
66.75709764,38,2,57,102,30.72738678,480.869083
88.5717969,31,1,57,155,28.3353235,478.7869418
62.36387863,45,2,31,119,30.6873864,311.2363013
82.03628439,24,1,55,106,30.98460205,462.9500059
63.01936571,48,2,57,173,25.27986977,345.9113413
80.74078521,53,1,56,127,32.46857245,301.6103051
97.70528043,19,1,31,143,19.61382756,337.8581946
76.12905942,48,2,36,125,23.37627653,352.9912474
87.7573401,42,1,54,139,24.33448169,162.4463073
50.60231002,41,2,23,139,25.24123047,307.8165088
55.77163057,45,1,36,133,28.83702822,250.4155555
102.9007217,23,1,58,153,30.50836843,176.9111226
58.11314437,31,2,21,123,28.68187496,258.5768409
89.2733785,49,1,46,128,30.80663814,443.597304
75.57405369,45,2,46,148,18.99583703,434.2419322
50.8347352,43,1,21,133,26.5708927,491.935445
84.62489573,46,1,37,147,24.42889051,237.065207
49.46376539,52,1,42,103,26.71492286,422.8064437
82.64754873,58,2,28,123,29.61126752,319.9871946
55.96927494,46,2,27,166,19.11939826,282.508893
71.1336658,53,2,36,147,30.84228012,357.577653
95.8389663,57,2,54,156,21.9382647,438.7918899
81.14219998,60,1,56,111,25.12063694,185.5255732
62.26509792,36,2,47,122,34.60834522,486.573584
94.61248435,45,1,50,130,30.84312574,253.5159488
97.95316699,27,2,25,137,30.07204633,129.9434082
70.24774059,21,1,29,165,24.08824971,182.2605262
96.30057002,46,1,33,148,34.91300939,400.516456
88.22157221,42,1,29,153,23.19780894,491.9044704
73.1141556,40,1,32,157,19.55049791,238.9462503
74.67383694,52,1,48,145,24.45260551,371.6601067
57.95171637,22,2,25,101,21.16562346,462.8120567
98.48099939,52,1,53,125,31.73667791,248.7936002
63.44800037,36,2,42,116,21.28403508,401.2463231
83.15299584,40,2,25,156,28.19329989,141.0364555
90.19817661,19,1,44,152,30.84917257,364.4066959
88.35767688,35,1,50,124,19.64824823,322.1451315
57.6739246,19,2,45,103,20.55629137,195.6211598
57.6924188,19,2,45,168,31.23324753,484.5370547
55.5680401,42,2,35,148,20.06381379,458.8880881
57.59200967,50,2,41,104,20.96203338,213.9911805
76.84679626,52,1,25,154,31.88867952,227.456204
88.23556542,43,1,29,178,22.15363794,287.1893138
91.0882985,56,1,41,111,23.62317842,323.0315514
78.48968963,20,1,31,172,23.82732512,497.1074685
50.28015181,56,1,41,172,30.64296342,366.4044274
85.50386934,52,2,29,104,22.02125599,387.15983
52.15090762,58,1,30,153,24.9464804,233.3392462
66.40925037,58,1,52,161,31.25068304,132.2370805
54.31588742,19,1,53,119,24.98497098,405.9524374
59.87344803,32,2,59,172,21.41510889,244.3192902
99.37388835,55,2,50,143,27.27328761,183.561947
60.7717068,25,2,30,171,27.5319572,494.2259605
91.68087007,34,1,55,126,26.66552368,130.1609002
60.0776506,30,1,24,145,34.7235601,190.5980237
74.91304816,29,2,42,111,32.68596386,118.9293663
54.10767485,30,2,55,134,23.96603628,274.9951649
69.84521761,47,2,35,148,24.08663286,388.8506434
62.86007961,47,2,33,154,29.85171733,349.8406933
75.49812964,31,2,33,109,29.79524487,234.6971393
92.51044358,58,2,49,118,32.55362597,285.8977732
55.43013278,20,2,51,140,25.14638605,407.9730236
90.42507815,50,1,35,122,21.29646339,223.8951789
61.81538551,18,1,53,103,34.59464132,457.6313614
88.35362776,47,1,40,119,32.02514359,469.3684872
86.45005595,38,2,34,141,26.40216848,288.9131064
59.2737052,28,1,51,116,22.08277051,146.0793262
60.46051583,22,2,50,158,31.91507275,397.6438343
84.64135348,59,1,57,125,28.06998729,198.2032255
73.71588722,33,1,50,146,32.13634225,205.5650502
74.95869381,54,2,44,120,24.8002778,392.5873554
70.0891426,21,1,56,179,28.8900538,453.0379044
60.31021044,47,1,44,140,24.73532339,272.7428795
74.08596309,25,1,36,114,20.93053492,371.0035139
78.61112844,55,2,30,112,21.74667278,311.6443303
69.86726674,44,2,51,133,23.66739728,491.5558116
59.31406913,48,1,60,123,28.11158287,164.5709455
66.83822279,23,1,43,156,34.17889455,319.9169524
73.76155933,54,2,53,163,21.24333868,334.2387586
61.18374024,24,2,39,113,19.8649819,432.7530526
79.82720402,28,2,31,157,21.77174362,316.0366931
82.83936966,43,1,40,105,26.14061947,217.4564324
100.3839363,24,2,53,105,25.11769439,365.6298646
102.0587223,57,1,54,160,31.76067493,313.5284395
101.0800725,39,2,36,159,22.04256614,196.1226109
68.08456426,56,2,50,121,32.15934248,215.3201631
93.30931068,27,1,45,101,29.26280744,468.4419489
60.93838515,20,1,24,168,25.63550796,128.0144317
69.35746447,24,1,41,165,27.32063719,136.1870591
70.14683541,41,2,33,140,26.76288978,371.2051117
58.26893974,60,2,31,145,26.04766444,232.3517873
