Actual Weight,Age,Gender,Duration,Heart Rate,BMI,Calories Burn
63.25205801,44,Male,43,105,22.38866543,115.3049248
79.83172621,58,Male,20,161,33.50701979,269.9155164
55.34368684,19,Female,56,120,22.17746348,406.9121716
95.16613597,54,Female,48,123,18.84148685,369.119949
86.87331552,57,Female,39,115,29.03321541,378.4221134
74.09952598,44,Female,24,147,34.85216293,214.6255261
70.90804248,52,Male,60,174,30.06443828,432.5814861
78.26803076,45,Female,36,178,32.00968738,171.4694413
54.58956026,32,Female,42,122,34.99663922,295.7867187
66.35769351,38,Female,57,157,24.7127525,201.3066614
97.76966561,50,Male,45,119,24.43542051,261.613848
53.44516635,19,Female,31,129,32.60462078,465.1517306
79.53970942,30,Male,42,152,33.73622398,384.8479959
58.38004376,39,Female,59,136,27.57410899,290.4563633
63.41829378,22,Male,60,170,27.82377223,444.1835461
93.43189078,22,Female,27,169,23.16263251,487.8769844
85.30516165,36,Male,20,138,25.26157016,420.2704776
95.79807343,33,Male,22,126,22.61444995,222.6653895
68.19113668,37,Male,52,176,32.07307362,161.8428754
96.08917838,47,Female,25,106,28.17738168,182.3335938
65.44013469,53,Male,58,128,19.83401327,393.4651723
59.14082046,30,Male,41,115,32.62707649,306.4364815
92.45879115,31,Female,60,175,27.62368258,179.8074075
73.00804581,39,Male,53,169,23.75248337,291.7025844
83.65361432,52,Male,52,118,20.09531161,473.2159514
57.59200967,50,Female,41,104,20.96203338,213.9911805
89.85731333,45,Male,36,145,22.44829906,210.7590049
58.69766403,42,Male,27,114,21.83867321,447.0781353
74.36990005,18,Female,28,127,31.83086886,349.6682137
85.46834731,34,Female,57,157,31.25715844,183.7721891
56.36146164,54,Female,24,163,28.15689796,321.7249052
90.08988146,46,Male,27,119,25.10624268,443.1748657
92.24860475,53,Male,47,138,22.73680421,485.3032348
74.13113961,60,Male,30,135,26.59809889,411.0609613
56.03473853,45,Female,32,102,28.42809983,258.4457742
70.60146836,32,Female,24,134,33.45693767,236.6634862
65.45657792,50,Male,60,134,23.61800851,254.7610849
56.5448815,29,Female,41,162,29.28416749,487.6419662
52.9431442,33,Male,53,116,19.51630264,441.6333932
46.57412898,33,Female,41,110,23.00305628,168.0431779
61.68722657,34,Male,53,119,33.11417266,413.7641314
78.59371478,50,Female,25,149,30.87895418,284.4833895
100.4104576,25,Male,53,166,19.62559444,222.7406397
85.62956273,24,Female,57,156,29.49077285,435.4859438
70.55148345,53,Female,56,123,24.84138033,485.9187709
76.12180127,42,Male,23,166,19.70949915,106.2129405
100.2216347,36,Female,33,140,31.6866112,187.0339816
96.93965084,36,Female,58,136,28.9551125,349.9257365
92.59310327,52,Female,22,180,19.5664943,302.9070343
98.99602467,51,Male,36,166,33.08167402,412.8717973
81.75235183,27,Female,39,161,31.31115143,404.1991452
50.5837702,27,Male,50,166,21.55475318,377.2902571
100.5866524,57,Male,27,137,20.95922439,224.6055449
58.00317301,24,Female,47,129,19.67119098,489.4733095
94.551064,52,Male,23,152,26.55492498,162.9127562
66.20453383,40,Male,40,110,27.76295201,498.0750266
89.24457587,35,Female,41,175,33.43751831,281.5898409
82.68141062,25,Female,42,169,23.47191846,490.6705774
70.78191955,28,Female,51,145,22.90223835,168.6179909
81.2013077,46,Female,41,168,25.9112058,273.2563968
92.48096019,54,Female,21,120,29.3392887,110.6568241
50.66332074,43,Male,40,157,33.91639131,103.4581432
49.98519215,45,Female,38,109,21.26684443,160.9989652
49.63693073,28,Male,45,164,27.48136691,442.4770175
53.7286943,38,Male,23,110,28.58478254,227.2208201
61.05276,35,Male,22,176,33.03941552,480.8794249
90.89947909,27,Female,40,124,27.39884697,329.204378
84.64135348,59,Male,57,125,28.06998729,198.2032255
90.70745531,42,Female,45,126,22.41373983,246.6226109
93.84045287,56,Female,52,167,32.03961505,247.8027617
56.95166478,34,Female,37,115,26.67337137,146.0460356
59.83340349,35,Male,22,134,29.58133002,116.3604168
57.62495952,57,Male,40,175,20.20311051,228.4273889
60.95165697,27,Female,56,153,22.89642277,271.900436
95.25947767,41,Female,39,135,28.0833546,178.5423258
87.23107524,46,Female,47,164,23.90279975,185.0191383
81.0694189,28,Male,30,105,33.74063578,250.6913712
61.96106024,31,Male,43,164,33.97005129,354.3181384
97.43683277,41,Male,55,103,31.22404465,259.5311447
70.0891426,21,Male,56,179,28.8900538,453.0379044
50.11442084,23,Female,43,169,22.15022532,129.7115151
93.48011484,48,Female,59,163,34.37236659,148.2437634
82.52383881,26,Female,32,109,19.39886868,376.4953334
81.76218279,51,Male,52,146,34.29477546,371.1216261
78.49825035,55,Female,60,161,22.17529557,475.4172127
75.2980923,52,Male,55,100,32.85971133,256.26433
61.53698524,28,Male,24,123,19.88800835,137.380076
84.47974528,23,Female,29,108,19.60424085,382.0635671
60.10115489,48,Female,39,175,19.14723951,252.0779653
